epoch,train_loss,train_miou,val_loss,val_miou
1,0.39411175911841184,0.4667663066450591,0.3155288814718569,0.5471558704505076
2,0.29808899902779123,0.563710102298097,0.27263620348774664,0.5985642480973072
3,0.27655457128649175,0.5883642734452834,0.2650935903951042,0.6064434478304414
4,0.2549314637546954,0.6154665455901711,0.2469185125473638,0.6267860623533147
5,0.24137405986371246,0.632528286745207,0.2700071311770294,0.595521433150878
6,0.23197565052820288,0.6441712094440862,0.21602835350447305,0.667065449893775
7,0.22249778249989385,0.6564909056899434,0.22737097506238513,0.649239220610259
8,0.21647391669128252,0.6641968328388111,0.20820962880735794,0.6761318452777312
9,0.21195493042469024,0.6698002406803226,0.18982748923232817,0.7018849330877485
10,0.20503061271232106,0.6794093252430535,0.19061164983971368,0.7007773675895378
11,0.20069562805735547,0.6854671650697847,0.1904211994671763,0.7003842897295735
12,0.1978627579367679,0.6888129520889206,0.1873557376062295,0.7051988214968454
13,0.19545299138711847,0.6920879933976066,0.1933271899864049,0.6969978242539256
14,0.19013918845549874,0.699607362308554,0.17904089849760046,0.7166990670237358
15,0.18990030962487925,0.6998455223361167,0.1777318730670121,0.7171408183317243
16,0.1844866334096245,0.707209010486827,0.17730160122120467,0.7185891117283797
17,0.1813262685485508,0.7116059265215092,0.18717759423634114,0.7043862071623103
18,0.18172612591930057,0.7111818203701518,0.17486905377448564,0.7213798455497334
19,0.17737633676632591,0.7173580512577183,0.18107559359928152,0.7132272664511001
20,0.17665270644685496,0.718480973529045,0.17700342264185812,0.7178736026406765
21,0.17504414553227632,0.7203323301443069,0.1756245395603736,0.7194258245997265
22,0.176067578792572,0.7192946294390468,0.17832067326974335,0.7165027569459429
23,0.17058823173460752,0.7265500755474034,0.1680183087359595,0.7319086300561891
24,0.1704434942940007,0.7269214220653648,0.17120325243677745,0.726713472033225
25,0.1703058264825655,0.7272578389574372,0.17298273563904865,0.7236284246470328
26,0.16807393198427947,0.7301243989882716,0.16756506747918742,0.7316052985860684
27,0.16533218414887138,0.7343563607620162,0.164981025673447,0.7356306249792856
28,0.167405678137489,0.7316433498770518,0.17277323398774636,0.7230641709641805
29,0.16437086903530618,0.7357870227713444,0.163716361223108,0.7383939501968543
30,0.1620279532411824,0.7392332358146924,0.16812498015842764,0.7301224232481314
31,0.16189623086348823,0.7390956678425686,0.16728414792915755,0.7315855424028342
32,0.1617943559003913,0.7395879797248687,0.16091921716790394,0.7409565356765796
33,0.16136378555194192,0.7400343256784815,0.17197633186001388,0.7233036197790247
34,0.1611850459938464,0.7402669824864004,0.1680428241637202,0.7302975966986153
35,0.15857844806235769,0.744348754873707,0.18905836956219635,0.7001336646503308
36,0.15687054006949716,0.7467605743443518,0.1706476456692057,0.726460227806033
37,0.1586866267349409,0.743917150333297,0.16359303913184037,0.7360916423411193
38,0.1573231708744298,0.7460515128854869,0.16872202862702912,0.7295941182459579
39,0.15519639979238095,0.7488215916365547,0.15889597806595235,0.7439757504079744
40,0.15504497134167214,0.7493908531188939,0.1737655955850347,0.7220795109927716
41,0.15440570141958154,0.7503796219852688,0.1627003299374449,0.7391466867865534
42,0.15339554936989494,0.7516843210004275,0.16075721539863613,0.7413980623649287
43,0.15467949937219205,0.7499057496222153,0.1655098845601959,0.7344032771533914
44,0.15448938685914745,0.7495442574404122,0.16048837088212944,0.7413092620777663
45,0.15211603498977164,0.7534854649618495,0.16081489573450367,0.7408837480768892
46,0.15137882154920826,0.7546092551457101,0.1651665813658406,0.7341938707161573
47,0.1494597455729609,0.7571094437310553,0.1691267299015277,0.7298838135862408
48,0.15088262687558712,0.7553870840622698,0.16838031716423418,0.7300579280593246
49,0.1498758500036986,0.7568750923727993,0.1713247329410918,0.7263229430527304
50,0.1515460298113201,0.7542147839752128,0.1625604933631878,0.7382489469398186
