epoch,train_loss,train_miou,val_loss,val_miou
1,0.6976963727370552,0.4162828488464467,0.6349620290951431,0.49051852260622003
2,0.5715972236965013,0.5047118512587141,0.5905376866553258,0.5075333356009081
3,0.4923832329071086,0.5672708732751154,0.5099165790183046,0.5507602493634728
4,0.4509936376758244,0.5951077988207126,0.44263738177718764,0.6172415822679677
5,0.413550331864668,0.621200461378203,0.39742717854363874,0.6304786620834045
6,0.38906013541247536,0.63909846839497,0.3933899340398242,0.6307947655222464
7,0.37272947971587594,0.6513336237586261,0.4371960057033509,0.6368527319841392
8,0.3598027947156326,0.6607011292257545,0.36832445143483644,0.6619776737785469
9,0.34488892681572747,0.6715270531833291,0.3379894682889285,0.6928955928390196
10,0.33127555426048194,0.6798960701247677,0.32955815323239357,0.6927343049910736
11,0.31486950085862825,0.692334579005666,0.3395891830540379,0.6842448218812297
12,0.3133450453372105,0.6931997683331496,0.3233535107977548,0.701485994503638
13,0.3064288995188216,0.6983462204633106,0.3118799945157307,0.7027081251367734
14,0.2962262646983499,0.7053638878109662,0.33371144433247685,0.6774388126755443
15,0.28497514319808587,0.7120662024586486,0.3584296902670591,0.6619765020788323
16,0.28109873468461244,0.7143330893284223,0.301745955399513,0.7088823901935907
17,0.2706668885829656,0.7222174976980589,0.336525532855881,0.7072453518721398
18,0.26460384234138157,0.7256165837187152,0.2939591219653288,0.7171198038894367
19,0.25993942378655727,0.7289880504379669,0.3129883465730517,0.701824524255772
20,0.2535115372227586,0.7337449792903096,0.3344483504375927,0.6784857652143425
21,0.254525063737579,0.732817487966415,0.2722544379554675,0.7325050817146282
22,0.243047040409368,0.7402132965964393,0.29135032622389845,0.7231494853040448
23,0.23567935079336166,0.7457200434785646,0.27054377872487706,0.734694642929799
24,0.24090966462441113,0.7423980127611126,0.27615993049398824,0.731678482177884
25,0.2284889941630156,0.7498000581393058,0.28299792180369354,0.7272064052661462
26,0.2320791740456353,0.748114059126941,0.296773112918415,0.7080840429832307
27,0.22197997103566708,0.7537127847391539,0.27320313417122,0.7303798772399067
28,0.2212630326009315,0.754256798301484,0.2871642316044043,0.7182827462021474
29,0.21423265062596486,0.7587557651263804,0.2769154344017027,0.7275572513965564
30,0.2142211444351984,0.7587772746432125,0.2878118458252962,0.7210700076840294
31,0.2091107041939445,0.7627551261239892,0.282467269814609,0.7310075084776191
32,0.21200549919968065,0.7607793102252537,0.2882391742104956,0.7280668180749496
33,0.20552409294506777,0.7652378853908223,0.31751136140200836,0.6983357511441525
34,0.20470976434324098,0.7656012546654857,0.2781021755628347,0.7394274482973252
35,0.19630526096924492,0.7716805873329937,0.28019787147377195,0.7298210834587714
36,0.19888938349550184,0.7698348048979419,0.2856821699748737,0.7271544154229851
37,0.19708277440589408,0.7702879240619772,0.27910202884583096,0.7334091525309283
38,0.19790203179354254,0.7713478077890409,0.29599374536354817,0.7270407134359305
39,0.18668949753046035,0.7783674353962291,0.2934142829417273,0.7194467838650693
40,0.19166827331418576,0.7746594667867903,0.2892375058002321,0.7285098092990573
41,0.19427015370000963,0.7734999651083571,0.29156320923662665,0.7226211961516443
42,0.1854141253978014,0.7796239533784005,0.29112905268774397,0.7295744396663393
43,0.18226764511478985,0.7814331758249073,0.29329036494209837,0.7332377975614991
44,0.19553332767732765,0.7729673586264315,0.30917200193511724,0.7250040581334202
45,0.1868829736567062,0.7783028729049505,0.2698450428112614,0.7394657214856782
46,0.18180144832510015,0.782466802319527,0.30152651309382206,0.7241159835663606
47,0.18381162493125253,0.7811099955147075,0.2741492418574845,0.7371945369576647
48,0.18053713251391182,0.7832855129931658,0.4118931390310575,0.661215442920152
49,0.17986375273245833,0.7834253578550205,0.28215774395836896,0.7359228220047515
50,0.18143190971535186,0.7826997830573535,0.3069971930626531,0.731021004334743
