epoch,train_loss,train_acc,test_acc
1,3.7017,4.48,4.96
2,3.4737,7.31,5.89
3,3.3167,9.32,7.3
4,3.1991,12.26,10.93
5,3.0612,14.48,12.81
6,2.9822,16.01,9.08
7,2.8799,19.02,14.12
8,2.7525,21.01,10.77
9,2.6233,24.92,18.29
10,2.4731,27.88,20.93
11,2.3188,32.28,22.02
12,2.1498,37.23,22.84
13,1.9706,41.01,22.92
14,1.7596,46.68,33.52
15,1.5684,51.96,32.84
16,1.3504,58.42,36.47
17,1.1389,65.11,39.38
18,1.0028,69.24,42.6
19,0.8801,73.97,42.46
20,0.8258,76.41,42.52
