epoch,train_loss,train_acc,test_acc
1,1.4761,66.33,87.74
2,0.3576,91.88,89.72
3,0.2091,95.19,90.3
4,0.1357,96.98,91.31
5,0.0857,98.45,91.25
6,0.0603,99.27,91.09
7,0.0415,99.51,91.82
8,0.0334,99.59,91.39
9,0.0242,99.86,91.36
10,0.0202,99.89,91.96
11,0.0166,99.97,91.82
12,0.0159,99.89,91.63
13,0.0127,100.0,92.01
14,0.0114,99.97,91.77
15,0.011,100.0,91.61
16,0.0106,100.0,91.91
17,0.0106,99.97,91.8
18,0.0094,100.0,91.88
19,0.009,100.0,91.85
20,0.0088,100.0,91.82
