epoch,train_loss,train_acc,test_acc
1,1.567,64.67,88.63
2,0.3203,92.07,90.11
3,0.1846,95.3,90.71
4,0.1134,97.47,91.14
5,0.0684,98.94,91.06
6,0.0496,99.18,91.61
7,0.0315,99.7,91.93
8,0.0256,99.76,91.85
9,0.0199,99.84,91.52
10,0.0163,99.86,91.99
11,0.0128,99.97,91.82
12,0.0123,100.0,91.88
13,0.0106,100.0,91.74
14,0.0085,100.0,91.96
15,0.0093,99.97,91.99
16,0.0081,100.0,92.07
17,0.0089,100.0,91.99
18,0.0081,100.0,91.74
19,0.007,100.0,92.26
20,0.0068,100.0,91.88
