epoch,train_loss,train_acc,test_acc
1,0.8839,75.24,86.7
2,0.2047,93.15,87.05
3,0.1542,95.27,83.21
4,0.1118,96.44,88.17
5,0.0457,98.64,88.03
6,0.0313,99.16,88.12
7,0.0438,98.78,88.36
8,0.0474,98.51,86.86
9,0.0365,98.86,88.03
10,0.0214,99.29,89.45
11,0.0135,99.59,89.18
12,0.0089,99.7,89.92
13,0.0035,99.97,90.24
14,0.0044,99.89,90.27
15,0.0027,99.92,90.32
16,0.0016,99.97,90.57
17,0.0014,100.0,90.9
18,0.0008,100.0,90.6
19,0.0012,99.97,90.68
20,0.0013,99.97,90.49
